Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA,HTHG,HTAG,HTR,HF,AF,HY,AY,HR,AR,Time,FTR,Season
2022-08-31,Empoli,Verona,2.62,3.3,2.7,1.88,2.02,0.0,1.97,1.93,1,0,H,5,21,0,4,0,0,17:30,D,2022/2023
2022-08-31,Sampdoria,Lazio,4.2,3.6,1.85,1.92,1.98,0.5,2.0,1.9,0,1,A,10,7,0,2,0,0,17:30,D,2022/2023
2022-08-31,Udinese,Fiorentina,2.7,3.5,2.5,1.8,2.0,0.0,1.99,1.91,1,0,H,13,9,1,2,0,0,17:30,H,2022/2023
2022-08-31,Juventus,Spezia,1.28,5.75,12.0,1.66,2.2,-1.5,1.77,2.02,1,0,H,1,4,0,2,0,0,19:45,H,2022/2023
2022-08-31,Napoli,Lecce,1.25,6.25,11.0,1.44,2.75,-1.75,1.96,1.94,1,1,D,1,3,1,4,0,0,19:45,D,2022/2023
2022-09-01,Atalanta,Torino,1.72,3.75,5.25,1.72,2.1,-0.75,1.88,2.02,1,0,H,14,13,1,3,0,0,19:45,H,2022/2023
2022-09-01,Bologna,Salernitana,1.85,3.6,4.33,1.8,2.0,-0.5,1.89,2.01,0,0,D,10,11,2,2,0,0,19:45,D,2022/2023
2022-09-03,Fiorentina,Juventus,3.0,3.25,2.4,2.1,1.72,0.25,1.81,2.09,1,1,D,13,12,1,3,0,0,14:00,D,2022/2023
2022-09-03,Milan,Inter,2.8,3.25,2.6,1.88,2.02,0.0,2.06,1.84,1,1,D,10,12,5,2,0,0,17:00,H,2022/2023
2022-09-03,Lazio,Napoli,2.9,3.5,2.37,1.72,2.1,0.25,1.83,2.07,1,1,D,12,14,4,0,0,0,19:45,A,2022/2023
2022-09-04,Cremonese,Sassuolo,3.0,3.5,2.25,1.66,2.2,0.25,1.86,2.04,0,0,D,16,6,1,1,0,0,11:30,D,2022/2023
2022-09-04,Spezia,Bologna,3.0,3.3,2.37,1.9,2.0,0.25,1.79,2.11,1,1,D,12,5,4,1,0,0,14:00,D,2022/2023
